"taxon","SPY213513","SPY213520","SPY213515","SPY213512","SPY213516","SPY213514","SPY213517","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY213523","SPY213525","SPY213518","SPY213521","SPY213522","SPY221741","SPY221742","SPY221745","SPY221746","SPY221749","SPY221750","SPY221751","SPY221753","SPY221747","SPY221748","SPY221743","SPY221744","SPY221739","SPY221740"
"Halieaceae",0,89,45,12,0,419,501,29,17,0,61,65,0,11,596,340,204,0,0,42,93,43,79,13,20,12,11,0,0,53,35
"Porticoccus",0,14,0,0,0,286,315,683,426,232,0,0,55,131,46,22,15,0,0,0,0,51,72,0,0,0,0,0,0,75,35
"Porticoccus_hydrocarbonoclasticus",107,137,23,0,0,0,0,61,37,16,557,644,92,155,258,101,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thioprofundum",0,0,0,0,0,0,0,0,0,0,16,0,0,0,30,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chromatiales",0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citrobacter_freundii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacter",29,75,0,0,0,0,0,0,0,0,0,0,0,0,126,150,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacter_cloacae",14,32,11,15,0,0,0,0,0,0,0,0,0,0,62,92,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacter_sp._Nj-68",0,0,0,46,41,0,11,0,0,30,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Enterobacteriaceae",47,17,296,278,143,18,604,0,0,0,0,22,0,0,0,0,0,0,92,11,16,0,0,0,0,0,0,0,0,0,0
"Klebsiella_sp._L16",0,0,0,0,0,0,0,0,0,0,0,0,0,1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hafnia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,2195,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morganella",96,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Providencia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serratia",114,134,0,28,34,25,22,0,0,20,11,25,0,11,185,318,59,0,0,0,0,0,0,0,0,44,0,0,0,0,0
"Serratia_marcescens",0,20,0,0,0,0,0,0,0,0,0,0,0,0,23,47,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serratia_sp._SP-1.4",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yersiniaceae",0,0,0,0,0,50,0,0,0,0,47,20,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacterales",21602,34671,16932,24969,15714,7526,13542,0,0,5764,17121,14303,2019,1847,35319,40267,16623,7645,25159,3291,3929,1894,0,0,0,1017,1749,8495,4707,0,674
"Hahella_chejuensis",36,52,26,0,0,15,16,351,254,130,16,54,82,286,292,114,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Litoricola",0,0,0,0,0,0,0,608,388,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"Marinobacterium",0,0,0,0,0,102,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Neptuniibacter",0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oceanospirillum_sp._ME101",0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oleibacter_sp._AU5AA5",0,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reinekea",0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"Acinetobacter_radioresistens",210,257,126,66,34,101,138,692,521,246,141,428,243,512,61,0,22,0,0,66,87,53,70,104,76,0,17,136,112,0,36
"Francisella_uliginis",0,0,0,0,0,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cycloclasticus",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piscirickettsiaceae",0,0,0,0,0,41,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,68,0,0,0,0,0,0,0,0
"Thiomicrospira_sp.",0,0,0,0,0,182,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,16,0,0,0,0,0,0,0,0
"Vibrio",15,32,28,0,0,91,81,49,27,18,46,54,28,73,25,0,0,0,0,0,0,13,12,0,15,82,103,0,0,18,13
"Vibrio_sp._PaD2.27",0,0,0,0,0,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,31,0,0,0,0,0,0
"Vibrionaceae",0,0,0,0,0,53,70,0,11,0,0,27,23,55,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,0
"Gammaproteobacteria",0,0,0,153,189,0,0,0,0,0,0,0,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proteobacteria",0,0,49,52,29,60,58,160,103,45,12494,130,65,140,18,0,0,0,0,0,0,0,0,0,0,808,0,0,0,0,0
"Nitrosopumilaceae",0,0,0,0,0,0,0,48,70,19,0,0,0,0,60,17,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coraliomargarita_sp.",0,0,0,0,0,0,0,16,34,13,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fucophilus_fucoidanolyticus",0,0,0,0,0,0,0,0,0,0,0,16,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Aquiluna_rubra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,51,0,0,27,0
"Microbacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,0,0,0,0,0,0,0,0,0,14
"Pseudo-nitzschia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,116
"Chaetoceros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,246
"Chaetoceros_simplex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,762,29,71,0,0,27,27,0,0,48,262
"Chaetoceros_socialis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"Chaetoceros_tenuissimus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,242,47,63,23,23,17,28,0,0,63,81
"Skeletonema",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,0,0,0,0
"Thalassiosirophycidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,153,0,0,13,100
"Bacillariophyta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,18,0,0
"Aureicoccus_marinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,136,281,308,234,202,146,492,0,0,466,419
"Bizionia_psychrotolerans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,76,0,0,0,0,0,0,523,303
"Tetraselmis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Pyramimonas_disomata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,26,0,0,0,0,0,0,0,0
"Chrysochromulina_camella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"Chrysochromulina_sp._clone_124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,23,0,0,0
"Chrysochromulina_sp._MBIC10513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,27
"Chrysochromulina_sp._MBIC10518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,31
"Prymnesium_kappa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,14,0,0,0
"Prymnesiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,16,0,0,49,27,26,254
"Hyphomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,43,0,0
"Yoonia_maricola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,1153,0,0,0,0,0,0,0,0,0,0
"Loktanella_sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,65,55,16,0,29,23,0,0,37,21
"Roseobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,75,230,339,239,178,209,265,274,186,924,555
"Roseovarius_sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"Rhodobacterales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,118,0,13,0,0,249,346,11,12,274,146
"Methylobacillus_arboreus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,83,47,64,38,31,70,89,0,0,184,131
"Betaproteobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,35
"Arcobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,13,13,0,0,0,0
"Sulfurovum_sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,43,17,0,0,0,0,0,0,0
"Alteromonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,37,0,0,0,0
"Glaciecola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,530,91,104,65,71,25,39,0,0,654,393
"Eionea_nigra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,11,0,0,0,0,0,0,0
"Reinekea_sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
