Nom du site;;;;;AgdePort;AgdePort;CannesPort;CannesPort;LaCiotatPortZone1;LaCiotatPortZone1;LaCiotatPortZone2;LaCiotatPortZone2;PorquerollesPort;PorquerollesPort;PortVendrePort;PortVendrePort;SMMPort;SMMPort
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;;;;;;;;;;;;;503;343
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum mesophilum;;;;;;;;;;;;;474;278
Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis;;;;;;;;;;;;;;15
Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas disomata;;;;14;;26;;;;;;;;
Cyanobacteria;-;Chroococcales;Aphanothecaceae;Candidatus Atelocyanobacterium thalassa;;;11;17;38;33;34;43;;;28;17;;
Cyanobacteria;-;Synechococcales;Prochlorococcaceae;Prochlorococcus sp. SCGC AAA298-C17;;;103;105;279;317;178;141;15;55;;;;11
Haptophyta;-;Prymnesiales;Chrysochromulinaceae;Chrysochromulina camella;;;;11;;;;;;;;;;
Haptophyta;-;Prymnesiales;Chrysochromulinaceae;Chrysochromulina sp. clone 124;;;;;;;;11;;;23;;;
Haptophyta;-;Prymnesiales;Chrysochromulinaceae;Chrysochromulina sp. MBIC10513;;;;46;;;;;;;;;;27
Haptophyta;-;Prymnesiales;Chrysochromulinaceae;Chrysochromulina sp. MBIC10518;;;;;;;;;;;19;;;31
Haptophyta;-;Prymnesiales;Prymnesiaceae;Prymnesium kappa;;;;16;;;;;;;14;;;
Haptophyta;-;Prymnesiales;-;Prymnesiales;;;;70;;;;16;;;49;27;26;254
Proteobacteria;Alphaproteobacteria;Hyphomonadales;Hyphomonadaceae;Hyphomonas;;;;;;;;;;;57;43;;
Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;;;;17;17;46;;47;;;76;62;46;73
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amylibacter ulvae;;;;;;;;;;;;;14;
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Nioella sp.;;;99;142;23;30;;;259;308;;;27;
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Yoonia maricola;;;858;1 153;;;;;;;;;;
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Loktanella sp.;;;13;14;65;55;16;;29;23;;;37;21
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Octadecabacter sp. LPB0143;;;;;;;;;;;;;335;134
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Phaeobacter sp. 6362;;;46;30;15;24;11;;49;72;;;18;
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseobacter sp. 3008;;;;;;;;;;;17;;;
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseobacteraceae;;;52;75;230;339;239;178;209;265;274;186;924;555
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseovarius;;;11;14;;;;;;;;;;
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseovarius sp.;;;;;;;;;;12;;;;
Proteobacteria;Alphaproteobacteria;Rhodobacterales;-;Rhodobacterales;;;87;118;;13;;;249;346;11;12;274;146
Proteobacteria;Alphaproteobacteria;-;-;Alphaproteobacteria;;;;;;;;;;12;;;20;24
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus arboreus;;;85;83;47;64;38;31;70;89;;;184;131
Proteobacteria;Betaproteobacteria;-;-;Betaproteobacteria;;;;;;;;;;;;;44;35
Proteobacteria;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Arcobacter sp.;;;;;11;14;;;;;;;;
Proteobacteria;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Arcobacteraceae;;;;;11;;;;13;13;;;;
Proteobacteria;Epsilonproteobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum sp.;;;;;40;43;17;;;;;;;
Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;;;;;;;;;31;37;;;;
Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Glaciecola;;;380;530;91;104;65;71;25;39;;;654;393
Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Eionea nigra;;;;;22;25;11;;;;;;;
Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;Halieaceae;;;42;93;43;79;13;20;12;11;;;53;35
Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae;Porticoccus;;;;;51;72;;;;;;;75;35
Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter sp. Nj-68;;;;;;;;;;;;;;11
Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacteriaceae;;92;11;16;;;;;;;;;;
Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;;;;;;;;;44;;;;;
Proteobacteria;Gammaproteobacteria;Enterobacterales;-;Enterobacterales;7 645;25 159;3 291;3 929;1 894;;;;1 017;1 749;8 495;4 707;;674
Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter radioresistens;;;66;87;53;70;104;76;;17;136;112;;36
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Litoricolaceae;Litoricola;;;;;;;;;;;;;13;
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinobacterium;;;;;;12;;;;;;;;
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Reinekea;;;;;11;;;;;;;;;
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Reinekea sp.;;;;;;;;;;;;;18;
Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Piscirickettsiaceae;;;;;65;68;;;;;;;;
Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Thiomicrospira sp.;;;;;37;16;;;;;;;;
Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;;;;;13;12;;15;82;103;;;18;13
Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio sp. PaD2.27;;;;;;;25;31;;;;;;
Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrionaceae;;;;;;;;;;;12;14;;
Proteobacteria;-;-;-;Proteobacteria;;;;;;;;;808;;;;;
Total après filtres;;;;;7 645;25 251;5 645;7 921;3 561;2 025;1 106;993;3 292;4 022;9 345;5 261;5 102;4 955
