Species,id,Super_class,Order,Family,Genus,IUCN_Red_List_Category,Common_length,Maximum_length,Vertical_Distribution,Littoral,Continental_shelf,Continental_slope,Open_ocean,Habitat_soft,Habitat_rocky,Habitat_posidonia,Minimum_depth_m,Maximum_depth_m,Migration,Reproduction,Sex.reversal,Semelparity,Diet_type_Larvae,Behavior,Diet_type_Adult,Trophic_level,Vulnerability,Origin,LRFI,RedList,CryptoBenthic,NI,GF,commercial_level,SHarK,DP,B,Fishbase_link,all_commercial_level,highly_commercial_only,SSTmin,SSTmax,SSTmean,SSTmedian,SSS10th,SSS20th,SSS30th,SSS40th,SSS60th,SSS70th,SSS80th,SSS90th,mode,max_depth,m.cluster_core,TopPred,crypto_Brandl
Aidablennius sphynx,206,osteichthyen,Perciformes,Blenniidae,Aidablennius,LC,6.5,8,Benthic,1,0,0,0,0,1,0,0.5,2,no,Oviparous,no,no,Planktotrophic,Solitary,Omnivorous,2.8,15.01,U,0,0,1,0,4,non commercial,0,0,1,http://fishbase.org/summary/Aidablennius-sphynx.html,0,0,17.63500023,21.80599976,19.27751053,19.24100018,18.50799942,18.68499947,18.82470036,19.03559952,19.36000061,19.63329983,20.03899956,20.21999931,18.81999969,0.301029996,4,0,1
Alectis alexandrina,207,osteichthyen,Perciformes,Carangidae,Alectis,LC,70,100,Demersal,1,0,0,0,1,1,1,1,50,NA,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.6,52.36,U,1,0,0,0,2,,0,1,0,http://fishbase.org/summary/Alectis-alexandrina.html,0,0,15.04500008,30.31299973,22.05935409,20.98250008,18.32999992,19.18479958,19.81699944,20.39459991,22.00900078,24.26630058,25.92220078,27.51199913,18.65999985,1.698970004,1,0,0
Alepes djedaba,134,osteichthyen,Perciformes,Carangidae,Alepes,LC,25,40,Pelagic,1,0,0,0,0,1,0,5,30,Amphidromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,3.3,24.73,L,1,0,0,1,3,,0,1,0,http://fishbase.org/summary/Alepes-djedaba.html,0,0,17.27099991,32.81999969,27.68435185,28.34700012,24.9640007,26.60700035,27.27499962,27.94400024,28.69499969,29.00200081,29.24900055,29.51199913,29.10199928,1.477121255,0,0,0
Alepocephalus rostratus,520,osteichthyen,Osmeriformes,Alepocephalidae,Alepocephalus,LC,35,70,Benthic,0,0,0,1,1,0,0,300,1600,NA,Oviparous,no,no,NA,NA,Carnivorous,3.7,69.64,U,1,0,0,0,1,,0,0,1,http://fishbase.org/summary/Alepocephalus-rostratus.html,0,0,11.71700001,29.34399986,19.17439883,19.28899956,13.99330015,16.32460022,17.77899933,18.77199936,19.69280052,20.31709957,21.51499939,24.43670044,19.55900002,3.204119983,2,0,0
Alopias vulpinus,506,chondrichtyen,Lamniformes,Alopiidae,Alopias,VU,550,760,Pelagic,0,0,0,1,0,0,0,1,50,Oceanodromous,Ovoviviparous,no,no,no,Solitary,Carnivorous,4.5,72.87,U,1,1,0,0,19,,1,1,0,http://fishbase.org/summary/Alopias-vulpinus.html,0,0,2.832000017,32.15100098,22.78157026,24.2670002,14.21100044,17.73399925,20.25600052,22.39599991,25.92900085,27.12800026,27.86400032,28.5909996,27.87800026,1.698970004,20,1,0
Alosa alosa,208,osteichthyen,Clupeiformes,Clupeidae,Alosa,LC,50,70,Pelagic,0,1,1,0,0,0,0,1,50,Anadromous,Oviparous,no,no,Leicitotrophic,Gregarious,Carnivorous,3,35.65,U,1,0,0,0,0,,0,1,0,http://fishbase.org/summary/Alosa-alosa.html,0,0,4.676000118,21.80599976,13.07119703,11.29199982,9.18500042,9.92800045,10.27299976,10.6590004,12.57400036,14.56900024,18.53839989,19.69020042,10.33199978,1.698970004,0,0,0
Alosa fallax,209,osteichthyen,Clupeiformes,Clupeidae,Alosa,LC,45,55,Pelagic,1,0,0,0,0,0,0,1,250,Anadromous,NA,no,no,Leicitotrophic,NA,Carnivorous,4,49.56,U,1,0,0,0,8,,0,1,0,http://fishbase.org/summary/Alosa-fallax.html,0,0,2.398000002,30.49699974,14.11637476,12.38399982,7.079199982,9.61400032,10.27999973,10.84700012,15.26399994,18.84399986,19.68560028,21.29979935,10.33199978,2.397940009,0,0,0
Aluterus monoceros,621,osteichthyen,Tetraodontiformes,Monacanthidae,Aluterus,LC,25,75,Demersal,0,1,0,0,0,1,0,1,50,no,Oviparous,no,no,Planktotrophic,Both,Carnivorous,3.8,47.86,A,1,0,0,1,2,,0,1,0,http://fishbase.org/summary/Aluterus-monoceros.html,0,0,5.643000126,32.49599838,25.27512498,27.23500061,17.39800072,21.94499969,25.22299957,26.48699951,27.86400032,28.24699974,28.72999954,29.25799942,27.87000084,1.698970004,1,0,0
Anguilla anguilla,210,osteichthyen,Anguilliformes,Anguillidae,Anguilla,CR,80,150,Benthic,1,1,1,0,1,0,1,1,15,Catadromous,Oviparous,no,yes,Leicitotrophic,NA,Carnivorous,3.6,64.35,U,1,1,0,0,0,,0,0,1,http://fishbase.org/summary/Anguilla-anguilla.html,0,0,-0.021,30.34399986,14.34190121,11.66699982,5.534999847,8.152000427,9.503000259,10.40400028,15.92599964,19.37999916,21.4260006,26.05900002,10.31599998,1.176091259,0,0,0
Anthias anthias,211,osteichthyen,Perciformes,Serranidae,Anthias,LC,16.5,27,Benthic,0,1,1,0,1,1,0,30,80,NA,Oviparous,Protogynous,no,Planktotrophic,Gregarious,Carnivorous,3.8,37.66,U,1,0,0,0,5,,0,0,1,http://fishbase.org/summary/Anthias-anthias.html,0,0,15.77700043,30.43700027,21.730264,20.3939991,18.63699913,19.1420002,19.49799919,19.90200043,21.22400093,21.97699928,26.14100075,27.65439987,19.57999992,1.903089987,0,0,0
Aphanius dispar,213,osteichthyen,Cyprinodontiformes,Cyprinodontidae,Aphanius,LC,6.5,8,Demersal,1,0,0,0,0,0,1,1,5,Amphidromous,Oviparous,no,yes,Planktotrophic,Gregarious,Herbivorous,2,14.62,L,0,0,0,1,0,,0,1,0,http://fishbase.org/summary/Aphanius-dispar+dispar.html,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004,0,0,0
Aphanius fasciatus,54,osteichthyen,Cyprinodontiformes,Cyprinodontidae,Aphanius,LC,6,9,Demersal,1,0,0,0,0,0,1,1,5,Amphidromous,Oviparous,no,yes,NA,Gregarious,Omnivorous,2.7,14.05,E,0,0,0,0,20,,0,1,0,http://fishbase.org/summary/Aphanius-fasciatus.html,0,0,14.52000046,23.02199936,19.67039758,19.66799927,18.0991003,18.6503994,19.02809982,19.41180038,19.99220047,20.33489914,21.06500053,21.64530029,19.57999992,0.698970004,22,0,0
Aphanius iberus,55,osteichthyen,Cyprinodontiformes,Cyprinodontidae,Aphanius,NA,4,5,Demersal,1,0,0,0,0,0,1,1,5,Amphidromous,Oviparous,no,yes,Planktotrophic,Gregarious,Omnivorous,3.4,28.56,E,0,0,0,0,20,,0,1,0,http://fishbase.org/summary/Aphanius-iberus.html,0,0,17.73999977,23.02199936,19.77175154,19.56100082,18.93299961,19.13999939,19.27449989,19.44000053,19.60400009,20.07699966,20.54700089,21.21949959,19.59000015,0.698970004,22,0,0
Aphia minuta,214,osteichthyen,Perciformes,Gobiidae,Aphia,NA,3.75,6,Pelagic,0,1,0,0,1,0,0,5,100,Oceanodromous,Oviparous,no,yes,Planktotrophic,Gregarious,Carnivorous,3.1,10,U,0,0,0,0,0,,0,1,0,http://fishbase.org/summary/Aphia-minuta.html,0,0,-0.207000002,23.02199936,12.58108335,11.29500008,7.112999916,9.156000137,10.17199993,10.56799984,13.03600025,15.3380003,18.49099922,19.48500061,10.33199978,2,0,0,1
Apletodon dentatus,215,osteichthyen,Gobiesociformes,Gobiesocidae,Apletodon,NA,4.25,5.1,Benthic,1,0,0,0,0,1,0,1,20,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.1,28.44,U,0,0,1,0,1,,0,0,1,http://fishbase.org/summary/Apletodon-dentatus.html,0,0,8.208000183,20.09000015,13.42210277,12.35249996,10.39799976,10.81799984,11.20269995,11.66159992,12.9630003,14.68929996,16.2711998,19.17099953,10.78800011,1.301029996,2,0,1
Apogon imberbis,216,osteichthyen,Perciformes,Apogonidae,Apogon,LC,11,15,Benthic,1,0,0,0,1,1,0,5,50,no,Oviparous,no,no,Planktotrophic,Both,Carnivorous,3.8,15.08,U,0,0,0,0,1,non commercial,0,0,1,http://fishbase.org/summary/Apogon-imberbis.html,0,0,7.532999992,30.43700027,21.72614573,21.46299934,15.34000015,18.84799957,19.50699997,20.25900078,22.87899971,25.79700089,27.01259995,27.60700035,27.44799995,1.698970004,2,0,1
Apogonichthyoides pharaonis,135,osteichthyen,Perciformes,Apogonidae,Apogonichthyoides,NA,10,15,Demersal,1,1,0,0,1,0,0,5,50,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,3.4,10,L,0,0,0,1,2,,0,1,0,http://fishbase.org/summary/Apogonichthyoides-pharaonis.html,0,0,22.18700027,30.79500008,27.51560447,27.81200027,25.87000084,26.51199913,26.99699974,27.32500076,28.06299973,28.20199966,28.39999962,28.83799934,28.11000061,1.698970004,1,0,1
Apogonichthyoides taeniatus,217,osteichthyen,Perciformes,Apogonidae,Apogonichthyoides,NA,11,17,Benthic,1,0,0,0,1,0,0,5,50,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,3.5,15.39,U,0,0,0,0,1,,0,0,1,http://fishbase.org/summary/Apogonichthyoides-taeniatus.html,0,0,22.18700027,32.85599899,28.36173182,28.73999977,26.17499924,27.15999985,27.92499924,28.35000038,29.03100014,29.2670002,29.47900009,29.86199951,29.32600021,1.698970004,2,0,1
Apterichtus anguiformis,218,osteichthyen,Anguilliformes,Ophichthidae,Apterichtus,LC,55,60,Benthic,1,0,0,0,1,0,0,10,40,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,4,29.8,U,1,0,0,0,1,,0,0,1,http://fishbase.org/summary/Apterichtus-anguiformis.html,0,0,15.98900032,28.47200012,20.23309397,20.02099991,18.51000023,18.89900017,19.28980064,19.63599968,20.34499931,20.70020065,21.42200089,22.14599991,20.26799965,1.602059991,2,1,0
Apterichtus caecus,219,osteichthyen,Anguilliformes,Ophichthidae,Apterichtus,LC,55,60,Benthic,1,0,0,0,1,0,0,5,20,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,4.1,33.58,U,1,0,0,0,1,,0,0,1,http://fishbase.org/summary/Apterichtus-caecus.html,0,0,17.65099907,22.19400024,20.32474315,20.44000053,18.97800064,19.50900078,20.07600021,20.2689991,20.62299919,20.83200073,21.16600037,21.4470005,20.78000069,1.301029996,2,1,0
Argentina sphyraena,532,osteichthyen,Osmeriformes,Argentinidae,Argentina,NA,29,45,Demersal,0,1,1,0,1,0,0,50,200,Oceanodromous,Oviparous,no,no,NA,Gregarious,Carnivorous,3.1,36.22,U,1,0,0,0,2,,0,1,0,http://fishbase.org/summary/Argentina-sphyraena.html,0,0,15.04500008,18.82799911,17.01123739,17.03000069,15.85839996,16.21760025,16.52040024,16.8156002,17.25240059,17.47480049,17.74079971,18.17639923,16.33099937,2.301029996,1,0,0
Argyropelecus hemigymnus,523,osteichthyen,Stomiiformes,Sternoptychidae,Argyropelecus,LC,2.8,4,Pelagic,0,0,0,1,0,0,0,1,2400,no,Oviparous,no,no,Planktotrophic,Both,Carnivorous,3.1,13.42,U,0,0,0,0,3,,0,1,0,http://fishbase.org/summary/Argyropelecus-hemigymnus.html,0,0,-0.021,32.49599838,20.57119279,22.37800026,8.149000168,12.54399967,17.31999969,19.92200089,25.17700005,26.84700012,27.91799927,28.79899979,27.99799919,3.380211242,5,0,0
Argyrosomus regius,590,osteichthyen,Perciformes,Sciaenidae,Argyrosomus,LC,120,200,Demersal,1,0,0,0,1,1,0,15,100,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,4.3,67.17,U,1,0,0,0,2,,0,1,0,http://fishbase.org/summary/Argyrosomus-regius.html,0,0,9.078000069,30.49699974,19.08705052,19.45100021,13.11220036,15.51099968,18.2689991,18.9470005,19.94199944,20.54599953,21.49300003,22.76179924,18.65999985,2,1,1,0
Ariosoma balearicum,220,osteichthyen,Anguilliformes,Congridae,Ariosoma,LC,45,50,Benthic,1,0,0,0,1,0,0,20,100,Oceanodromous,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.9,27.79,U,1,0,0,0,1,,0,0,1,http://fishbase.org/summary/Ariosoma-balearicum.html,0,0,6.06400013,32.25099945,24.48966125,26.80400085,18.29299927,20.04199982,22.41600037,25.6590004,27.52000046,27.98999977,28.36800003,28.9489994,28.20800018,2,2,0,0
Arnoglossus imperialis,221,osteichthyen,Pleuronectiformes,Bothidae,Arnoglossus,LC,22.5,25,Benthic,0,1,1,0,1,0,0,80,150,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.8,35.16,U,1,0,0,0,1,,0,0,1,http://fishbase.org/summary/Arnoglossus-imperialis.html,0,0,5.702000141,30.79500008,18.05550336,18.11100006,10.24699974,10.90400028,12.59700012,15.48799992,19.35000038,21.05900002,26.48999977,27.68700027,27.86199951,2.176091259,2,0,0
Arnoglossus kessleri,56,osteichthyen,Pleuronectiformes,Bothidae,Arnoglossus,DD,11.5,13,Benthic,0,1,0,0,1,0,0,10,200,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,4.1,23.6,E,0,0,0,0,1,,0,0,1,http://fishbase.org/summary/Arnoglossus-kessleri.html,0,0,13.35700035,21.80599976,18.83113015,19.14900017,17.75119972,18.51399994,18.72440071,18.9640007,19.31379929,19.45400047,19.59499931,19.89699936,19.30599976,2.301029996,2,0,0
Arnoglossus laterna,222,osteichthyen,Pleuronectiformes,Bothidae,Arnoglossus,LC,20,25,Benthic,0,1,1,0,1,0,0,10,400,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.6,35.75,U,1,0,0,0,1,,0,0,1,http://fishbase.org/summary/Arnoglossus-laterna.html,0,0,4.653999805,23.44799995,14.10993158,12.50300026,8.786999702,10.09700012,10.52600002,11.11299992,15.28899956,18.71999931,19.52000046,20.48699951,10.33199978,2.602059991,2,0,0
Arnoglossus rueppelii,616,osteichthyen,Pleuronectiformes,Bothidae,Arnoglossus,LC,NA,15,Benthic,0,0,1,0,1,0,0,200,550,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,4,34.47,U,0,0,0,0,1,,0,0,1,http://fishbase.org/summary/Arnoglossus-rueppelii.html,0,0,15.55099964,22.8560009,19.82773862,19.67700005,18.33089943,18.96699905,19.25200081,19.49799919,20.04599953,20.38899994,21.0170002,21.60499954,19.57999992,2.740362689,2,NA,0
Arnoglossus thori,223,osteichthyen,Pleuronectiformes,Bothidae,Arnoglossus,DD,19,25,Benthic,0,1,1,0,1,1,0,15,50,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,3.3,25.01,U,1,0,0,0,1,,0,0,1,http://fishbase.org/summary/Arnoglossus-thori.html,0,0,4.205999851,25.65500069,15.47510594,16.05000019,8.217400169,10.78800011,11.73600006,13.15699959,18.82600021,19.47900009,20.20100021,21.37999916,10.78800011,1.698970004,2,0,0
Atherina boyeri,610,osteichthyen,Atheriniformes,Atherinidae,Atherina,LC,9,13,Pelagic,1,0,0,0,1,1,1,1,3,Amphidromous,Oviparous,no,no,Leicitotrophic,Gregarious,Carnivorous,3.2,43.98,U,0,0,0,0,8,commercial,0,1,0,http://fishbase.org/summary/Atherina-boyeri.html,0,0,7.880000114,23.44799995,17.23860052,18.91799927,10.79399967,12.28360023,15.25800037,17.21419983,19.5189991,20.01600075,20.85499954,21.60199928,19.57999992,0.477121255,0,0,0
Atherina hepsetus,226,osteichthyen,Atheriniformes,Atherinidae,Atherina,NA,15,20,Pelagic,1,0,0,0,0,1,0,1,3,NA,Oviparous,no,no,Leicitotrophic,Gregarious,Carnivorous,3.2,35.08,U,0,0,0,0,8,,0,1,0,http://fishbase.org/summary/Atherina-hepsetus.html,0,0,12.00599957,23.02199936,19.03458693,19.46500015,15.52900028,17.95299911,18.70400047,19.11100006,19.72800064,20.01499939,20.48699951,21.28100014,19.57999992,0.477121255,21,0,0
Atherina presbyter,227,osteichthyen,Atheriniformes,Atherinidae,Atherina,LC,13.5,20,Pelagic,1,0,0,0,1,1,1,1,3,Oceanodromous,Oviparous,no,no,Leicitotrophic,Gregarious,Carnivorous,3.7,20.73,U,0,0,0,0,8,,0,1,0,http://fishbase.org/summary/Atherina-presbyter.html,0,0,5.702000141,22.15200043,13.66789991,11.94200039,10.21000004,10.56799984,10.87100029,11.32699966,12.98499966,15.48700047,18.42080078,20.13180008,10.78800011,0.477121255,0,0,0
Atherinomorus forskalii,632,osteichthyen,Atheriniformes,Atherinidae,Atherinomorus,NA,6,15,Pelagic,1,0,0,0,0,0,0,1,10,no,Oviparous,no,no,Leicitotrophic,NA,Carnivorous,3.3,36.58,L,0,0,0,1,8,,0,1,0,http://fishbase.org/summary/Atherinomorus-lacunosus.html,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
Atherinomorus lacunosus,136,osteichthyen,Atheriniformes,Atherinidae,Atherinomorus,NA,12,14,Demersal,1,0,0,0,1,1,0,1,10,no,Oviparous,no,no,Leicitotrophic,Gregarious,Carnivorous,3.3,39.12,L,0,0,0,1,2,,0,1,0,http://fishbase.org/summary/Atherinomorus-lacunosus.html,0,0,16.42000008,32.85599899,27.78881702,28.46299934,25.24729958,26.56200027,27.47500038,28.0909996,28.83699989,29.14999962,29.38100052,29.69300079,29.38400078,1,1,0,0
Aulopus filamentosus,228,osteichthyen,Aulopiformes,Aulopidae,Aulopus,LC,17.5,44,Demersal,0,1,1,0,1,0,0,150,1000,no,Oviparous,no,no,Planktotrophic,NA,Carnivorous,4.2,41.44,U,1,0,0,0,2,,0,1,0,http://fishbase.org/summary/Aulopus-filamentosus.html,0,0,15.98900032,30.43700027,24.4154252,25.8939991,19.31999969,19.99699974,21.625,24.49300003,26.73719978,27.36300087,27.63999939,27.9260006,27.88599968,3,1,0,0
Auxis rochei,229,osteichthyen,Perciformes,Scombridae,Auxis,LC,35,50,Pelagic,1,1,0,0,0,0,0,1,30,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,4.3,26.68,U,1,0,0,0,3,,0,1,0,http://fishbase.org/summary/Auxis-rochei.html,0,0,5.643000126,31.36800003,24.01096642,25.57299995,17.34600067,20.0170002,22.0359993,24.00600052,26.5720005,27.36199951,27.87800026,28.55400085,27.83399963,1.477121255,7,0,0
Balistes capriscus,230,osteichthyen,Tetraodontiformes,Balistidae,Balistes,VU,32.5,45,Benthic,0,1,0,0,1,1,1,10,50,Oceanodromous,Oviparous,no,no,Planktotrophic,Both,Carnivorous,4.1,34.82,U,1,1,0,0,1,commercial,0,0,1,http://fishbase.org/summary/Balistes-capriscus.html,0,0,3.717999935,31.86700058,21.35712335,24.01399994,10.30900002,12.78600025,18.65800095,20.5189991,26.59000015,27.42399979,27.86800003,28.27400017,27.6420002,1.698970004,2,0,0
Bathophilus nigerrimus,531,osteichthyen,Stomiiformes,Melanostomiidae,Bathophilus,LC,6,12,Pelagic,0,0,0,1,1,0,0,1000,2800,Oceanodromous,Oviparous,no,no,Planktotrophic,Solitary,Piscivorous,4.2,21.31,U,0,0,0,0,0,,0,1,0,http://fishbase.org/summary/Bathophilus-nigerrimus.html,0,0,4.857999802,31.44400024,22.822345,23.73999977,16.67499924,18.72999954,20.15500069,21.80800056,25.56100082,26.61700058,27.5720005,28.06399918,28.00600052,3.447158031,23,0,0
Bathypterois dubius,537,osteichthyen,Aulopiformes,Ipnopidae,Bathypterois,LC,15,21,Demersal,0,0,1,0,0,0,0,260,2800,no,Oviparous,Hermaphrodite,no,Planktotrophic,Both,Carnivorous,3.4,15.01,U,1,0,0,0,0,,0,1,0,http://fishbase.org/summary/Bathypterois-dubius.html,0,0,3.852999926,24.86100006,16.69648483,18.51499939,9.142999649,11.63520012,13.64000034,16.44440002,19.48399925,20.19300079,21.19000053,22.02589912,19.5340004,3.447158031,0,0,0
Bathypterois grallator,538,osteichthyen,Aulopiformes,Ipnopidae,Bathypterois,LC,30,37,Demersal,0,1,1,1,0,1,0,870,4700,no,Oviparous,Hermaphrodite,no,Planktotrophic,Solitary,Carnivorous,3.1,36.8,U,1,0,0,0,0,,0,1,0,http://fishbase.org/summary/Bathypterois-grallator.html,0,0,5.190999985,30.92399979,22.56951239,23.2329998,16.15699959,18.98900032,20.68499947,22.12800026,24.4810009,25.47500038,26.51799965,27.7670002,27.84600067,3.672097858,0,0,0
Bathypterois mediterraneus,57,osteichthyen,Aulopiformes,Ipnopidae,Bathypterois,LC,13,21,Demersal,0,0,1,0,1,0,0,260,2800,no,Oviparous,Hermaphrodite,no,Planktotrophic,Solitary,Carnivorous,3.4,52.1,E,1,0,0,0,0,,0,1,0,https://www.fishbase.de/summary/Bathypterois-mediterraneus.html,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.447158031,0,0,0
Bathysolea profundicola,617,osteichthyen,Pleuronectiformes,Soleidae,Bathysolea,LC,10,21,Benthic,0,0,1,0,1,0,0,200,1300,no,NA,no,no,NA,Solitary,Carnivorous,3.2,24,U,1,0,1,0,1,,0,0,1,http://fishbase.org/summary/Bathysolea-profundicola.html,0,0,11.80500031,29.34399986,19.63428585,19.48699951,13.79800034,15.59839973,18.2140007,19.13400078,19.875,20.78790016,23.81999969,26.10000038,19.54800034,3.113943352,2,0,0
Bathytoshia lata,268,chondrichtyen,Rajiformes,Dasyatidae,Bathytoshia,VU,125,220,Benthic,0,1,0,0,1,0,0,5,50,Oceanodromous,Ovoviviparous,no,no,no,Gregarious,Carnivorous,3.8,80.94,U,1,1,0,0,10,,1,0,1,http://fishbase.org/summary/Dasyatis-centroura.html,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.698970004,13,0,0
